Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2018-02-28;96,8;25,617857;20,037857;16,571429;79,723214;
2018-03-31;327,6;27,283871;21,495484;18,454839;82,83871;
2018-04-30;23,2;25,943333;19,415333;15,526667;78,15;
2018-05-31;27,4;22,889286;16,948571;13,525;85,607143;
2018-06-30;null;null;null;null;null;
2018-07-31;null;null;null;null;null;
2018-08-31;46,9;21,173077;14,581538;10,803846;null;
2018-09-30;43,8;22,744;16,6325;13,404167;null;
2018-10-31;220;23,018519;18,025926;15,237037;null;
2018-11-30;21,8;24,638462;19,213077;15,834615;null;
2018-12-31;114,5;29,09;22,348667;17,88;70,098214;
2019-01-31;190,6;30,254839;24,083226;19,829032;74,16129;
2019-02-28;301,2;26,457143;21,192143;17,921429;80,901786;
2019-03-31;67,4;26,009677;20,576774;17,283871;81,959677;
2019-04-30;119,3;25,433333;19,941333;16,35;81,491667;
2019-05-31;206;22,76129;17,793548;14,758065;85,225806;
2019-06-30;123,1;22,51;16,288667;11,836667;80,175;
2019-07-31;12,4;21,267742;14,499355;9,496774;75,782258;
2019-08-31;35,5;21,654839;14,778065;10,254839;77,5;
2019-09-30;100,8;22,732;16,9872;13,628;null;
2019-10-31;23,6;26,9;19,857037;15,677778;null;
2019-11-30;63;25,580769;19,45;15,95;null;
2019-12-31;36,2;26,053846;20,423077;17,011538;null;
2020-01-31;null;null;null;null;null;
2020-02-29;null;25,592;20,3448;17,48;null;
2020-03-31;null;27,261538;20,023846;16,007692;null;
2020-04-30;null;25,076923;17,826923;13,638462;null;
2020-05-31;null;22,265385;15,064615;10,680769;null;
2020-06-30;null;21,338462;16,163846;12,876923;null;
2020-07-31;null;21,125926;14,420741;10,075;null;
2020-08-31;null;21,892308;14,731429;10,142857;null;
2020-09-30;null;26,176923;18,643636;13,75;null;
2020-10-31;97,2;26,211111;19,393913;15,273913;null;
2020-11-30;null;null;null;null;null;
2020-12-31;78,7;26,766667;20,941739;17,347826;null;
2021-01-31;null;26,238462;21,465455;18,718182;null;
2021-02-28;50,2;27,4125;21,342105;17,5;null;
2021-03-31;130;27,003704;20,902727;17,577273;null;
2021-04-30;2,7;23,384615;17,361818;13,75;null;

