Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2018-04-30;185,8;31,193333;26,874;23,766667;82,558333;
2018-05-31;217,1;31,183871;26,986452;23,983871;80,483871;
2018-06-30;51,2;30,973333;26,606;23,23;76,858333;
2018-07-31;197,4;30,848387;26,403226;23,151613;76,16129;
2018-08-31;21;31,209677;26,812903;23,754839;74,314516;
2018-09-30;5,4;31,85;27,229333;24,11;72,408333;
2018-10-31;6,3;31,948387;27,723871;24,951613;72,193548;
2018-11-30;3,3;32,523333;28,292;25,643333;72,358333;
2018-12-31;197,3;31,674194;27,567097;24,632258;78,903226;
2019-01-31;210,2;31,193548;27,481935;24,709677;81,572581;
2019-02-28;319,3;31,053571;27,147143;24,478571;84,982143;
2019-03-31;397,6;30,303226;26,353548;23,806452;90,177419;
2019-04-30;430,4;30,426667;26,698667;24,05;87,908333;
2019-05-31;353,4;31,106452;27,126667;24,193548;84,572581;
2019-06-30;146,1;30,728;26,7448;23,664;80,125;
2019-07-31;49,5;30,792593;26,537692;23,340741;78,15;
2019-08-31;18,7;31,277778;26,647407;23,225926;73;
2019-09-30;8,9;31,428;27,1528;24,358333;73,36;
2019-10-31;9,1;31,874074;27,47037;24,503704;71,925926;
2019-11-30;2,8;32,45;28,136154;25,361538;72,615385;
2019-12-31;null;null;null;null;null;
2020-01-31;186,2;31,288889;27,668148;25,007407;81,037037;
2020-02-29;345,4;30,888;27,2592;24,48;84,76;
2020-03-31;306,2;31,303846;27,38;24,65;85,769231;
2020-04-30;393,5;31,542308;27,316923;24,373077;87,269231;
2020-05-31;234,1;31,315385;27,296923;24,376923;84,115385;
2020-06-30;74,1;30,74;26,755;23,876;82,653846;
2020-07-31;60,8;30,785185;26,348148;23,096296;76,5;
2020-08-31;,4;31,548;26,7856;23,315385;72,44;
2020-09-30;5,3;31,665385;27,229231;24,238462;68,653846;
2020-10-31;15,9;32,151852;27,861481;24,881481;72,62963;
2020-11-30;16,1;32,275;28,3125;25,576;74,833333;
2020-12-31;null;null;null;null;null;
2021-01-31;115,2;31,652;27,8112;25,415385;78,88;
2021-02-28;null;31,420833;27,782609;25,243478;81,208333;
2021-03-31;336,2;30,562963;26,946154;23,962963;86,222222;
2021-04-30;109,1;31,891667;27,7075;24,441667;82,291667;

