data_medicao;precipitacao_total_mensal(mm);temperatura_maxima_media_mensal(°c);temperatura_media_compensada_mensal(°c);temperatura_minima_media_mensal(°c);umidade_relativa_do_ar_media_mensal(%);cidade;estado;casos;pop;year;month
2010-09-01;64,8;30,296667;21,728667;14,12;53,216667;divinopolis;MG;9.0;232945.0;2010;9
2010-09-01;0;32,163333;27,130667;23,026667;68,183333;fortaleza;CE;614.0;2609716.0;2010;9
2010-09-01;55;22,566667;16,443333;12,673333;78,725;curitiba;PR;14.0;1893997.0;2010;9
2010-09-01;36,9;29,163333;23,948;20,606667;70,308333;rio_de_janeiro;RJ;287.0;6498837.0;2010;9
2010-09-01;71;27,77;21,549333;16,683333;52,6;belo_horizonte;MG;158.0;2513451.0;2010;9
2010-09-01;139,1;29,34;22,610667;17,23;58,9;maringa;PR;81.0;403063.0;2010;9
2010-10-01;118,5;28,416129;23,925806;20,851613;69,733871;rio_de_janeiro;RJ;250.0;6498837.0;2010;10
2010-10-01;152,5;22,158065;16,027097;12,467742;81,080645;curitiba;PR;15.0;1893997.0;2010;10
2010-10-01;156,6;30,012903;23,042581;17,335484;65,112903;divinopolis;MG;2.0;232945.0;2010;10
2010-10-01;216,6;28,448387;22,430968;17,870968;64,701613;belo_horizonte;MG;291.0;2513451.0;2010;10
2010-10-01;203,8;28,23871;21,834839;16,680645;67,693548;maringa;PR;66.0;403063.0;2010;10
2010-10-01;3,8;32,432258;27,777419;24,36129;71,814516;fortaleza;CE;484.0;2609716.0;2010;10
2010-10-01;205,4;25,229032;18,536129;14,270968;80,782258;barbacena;MG;0.0;135829.0;2010;10
2010-11-01;116,8;30,01;23,493333;17,75;65,466667;maringa;PR;60.0;403063.0;2010;11
2010-11-01;13,2;32,533333;28,142;24,896667;71,108333;fortaleza;CE;754.0;2609716.0;2010;11
2010-11-01;396,6;26,633333;22,009333;18,296667;72,6;belo_horizonte;MG;163.0;2513451.0;2010;11
2010-11-01;98,6;25,063333;18,736667;14,673333;75,866667;curitiba;PR;16.0;1893997.0;2010;11
2010-11-01;67,3;29,89;25,562667;22,476667;74,591667;rio_de_janeiro;RJ;309.0;6498837.0;2010;11
2010-11-01;304,7;28,446667;22,604;18,37;75,608333;divinopolis;MG;0.0;232945.0;2010;11
2010-11-01;338,9;24,72;19,225333;15,686667;85,15;barbacena;MG;1.0;135829.0;2010;11
2010-12-01;293,2;29,209677;24,095484;20,025806;69,983871;belo_horizonte;MG;318.0;2513451.0;2010;12
2010-12-01;291,6;32,967742;27,904516;24,777419;75,774194;rio_de_janeiro;RJ;773.0;6498837.0;2010;12
2010-12-01;322,1;25,209677;19,833548;16,512903;84,379032;curitiba;PR;15.0;1893997.0;2010;12
2010-12-01;212,3;30,851613;24,382667;19,71;73,225;divinopolis;MG;2.0;232945.0;2010;12
2010-12-01;342,5;27,619355;21,412258;17,641935;83,951613;barbacena;MG;0.0;135829.0;2010;12
2010-12-01;76,4;31,996774;27,863871;24,616129;74,814516;fortaleza;CE;1513.0;2609716.0;2010;12
2010-12-01;212,9;29,219355;24,064516;20,122581;80,459677;maringa;PR;50.0;403063.0;2010;12
2011-01-01;182;30,732258;25,008387;21,322581;79,443548;maringa;PR;91.0;403063.0;2011;1
2011-01-01;271,3;30,229032;24,241935;19,432258;71,612903;divinopolis;MG;24.0;232945.0;2011;1
2011-01-01;317,9;28,503226;23,628387;19,603226;67,596774;belo_horizonte;MG;1317.0;2513451.0;2011;1
2011-01-01;338,8;27,774194;22,010968;18,729032;82,637097;curitiba;PR;77.0;1893997.0;2011;1
2011-01-01;78,7;34,735484;29,285161;25,925806;68,919355;rio_de_janeiro;RJ;2011.0;6498837.0;2011;1
2011-01-01;668,3;30,574194;26,458065;23,129032;83,91129;fortaleza;CE;2026.0;2609716.0;2011;1
2011-01-01;182,7;27,067742;21,513548;17,525806;82,064516;barbacena;MG;2.0;135829.0;2011;1
2011-02-01;293,1;27,035714;21,638571;18,685714;82,241071;curitiba;PR;94.0;1893997.0;2011;2
2011-02-01;66,6;30,660714;25,052143;20,517857;55,758929;belo_horizonte;MG;1040.0;2513451.0;2011;2
2011-02-01;28,1;29,453571;22,287857;17,389286;72,723214;barbacena;MG;4.0;135829.0;2011;2
2011-02-01;116,3;33,185714;25,296429;18,910714;60,633929;divinopolis;MG;31.0;232945.0;2011;2
2011-02-01;312,9;30,592857;24,947143;21,275;80,178571;maringa;PR;142.0;403063.0;2011;2
2011-02-01;308,6;30,725;26,715714;23,596429;84,035714;fortaleza;CE;2654.0;2609716.0;2011;2
2011-02-01;8,5;35,310714;29,485;25,846429;63,3125;rio_de_janeiro;RJ;7197.0;6498837.0;2011;2
2011-03-01;367;29,329032;23,061379;19,044828;79,663793;divinopolis;MG;61.0;232945.0;2011;3
2011-03-01;264,1;25,841935;20,163871;17,041935;88,016129;barbacena;MG;7.0;135829.0;2011;3
2011-03-01;75,6;23,270968;18,909677;16,441935;86,58871;curitiba;PR;138.0;1893997.0;2011;3
2011-03-01;375,6;31,293548;26,8;23,187097;83,024194;fortaleza;CE;6294.0;2609716.0;2011;3
2011-03-01;334,5;27,490323;22,932903;19,477419;71,806452;belo_horizonte;MG;1362.0;2513451.0;2011;3
2011-03-01;252,6;29,319355;24,068387;19,883871;74,508065;maringa;PR;202.0;403063.0;2011;3
2011-03-01;100,6;30,567742;26,234194;23,816129;78,983871;rio_de_janeiro;RJ;14470.0;6498837.0;2011;3
